gene,Kidney_T0-1.counts.rev.txt,Kidney_T0-2.counts.rev.txt,Kidney_T12.counts.rev.txt,Kidney_T24.counts.rev.txt,Kidney_T48.counts.rev.txt
FIBCD1,4.308834454,0,7.126350558,6.208511825,10.50131888
FIBIN,15809.11361,16818.96113,5356.343238,9194.806013,5598.157628
FIBP,3383.512255,4445.206441,2349.914097,2902.922744,3386.198006
FICD,526.755012,546.7964311,944.241449,1022.630591,783.7802545
FIG4,3031.265039,2778.720045,1636.388247,2002.688529,1916.968028
FIGLA,0,0,0,0,0
FIGN,351.170008,316.8933862,138.0730421,258.9836361,229.1196846
FIGNL1,179.8938385,191.3787509,202.2101971,202.2200995,384.7301371
FILIP1,367.3281372,263.4564623,211.1181353,343.2420109,491.6526566
FILIP1L,1251.716409,842.5635916,1539.291721,1653.238006,3158.032986
FIS1,3473.997779,3675.96328,2474.625231,2900.261953,2679.745645
FITM1,18.31254643,33.55341736,9.798732018,5.321581565,9.546653526
FITM2,4289.444699,4375.614168,3482.113042,3590.293696,2875.452042
FIZ1,626.9354131,743.1460586,435.5981779,499.3417368,542.2499203
FJX1,200.3608021,177.7088401,1155.359584,847.018399,885.9294472
FKBP10,526.755012,437.4371449,1331.736761,1799.581499,3249.68086
FKBP14,1712.761696,1652.816485,2231.438519,2092.268485,2007.661236
FKBP15,4770.956949,5193.323376,2688.415748,2838.176834,3137.030349
FKBP1B,106.6436527,124.2719162,93.53335108,116.1878642,141.2904722
FKBP2,5456.061628,6775.304869,4668.650409,5630.233295,4416.281921
FKBP3,4640.614707,5758.760595,4543.939275,4784.101827,4745.641468
FKBP4,17862.27323,18660.67093,21889.47653,19862.80319,14349.57491
FKBP5,7243.150718,6486.994024,31242.81164,23546.22456,21565.89031
FKBP6,0,0,0,0,0
FKBP7,409.3392732,468.5051239,1193.663719,945.467658,921.2520652
FKBP8,11313.92207,13512.08544,7194.941682,9120.303872,8840.201165
FKBP9,6679.770613,6230.993876,6293.458337,9711.886355,13076.05133
FKBPL,330.7030444,321.8642629,220.0260735,223.5064257,258.7143106
FKRP,701.2628074,672.3110664,604.8490036,602.2256471,586.1645265
FLACC1,0,0,0,0,0
FLAD1,2341.851526,2686.758827,2767.696398,3193.835869,3231.542218
FLI1,940.4031196,960.6219119,1473.372978,1348.133996,1664.936375
FLII,6874.745372,6995.266161,9842.380915,8209.426494,8058.330241
FLNA,5702.7424,4808.080436,17316.14106,19575.43779,20231.26815
FLNB,7518.916123,7489.868387,9655.314213,8618.301344,9075.048842
FLNC,347.9383822,273.3982155,441.8337346,520.6280631,569.9352155
FLOT1,3937.197483,3659.807931,6289.004368,6301.639503,6029.666367
FLOT2,2811.514481,3171.4193,3017.118668,3821.782494,3867.349343
FLRT1,478.2806244,443.6507407,537.1486733,997.7965434,912.6600771
FLRT2,802.5204171,504.5439796,1161.595141,1211.546736,2066.850488
FLRT3,465.3541211,417.5536383,980.7639956,833.7144451,580.4365344
FLT1,3445.990355,2561.244192,6363.831049,5259.496446,2950.870605
FLT3,66.78693404,62.13595808,106.0044646,98.44925895,60.14391721
FLT4,583.8470686,500.8158221,254.7670325,413.3095015,586.1645265
FLVCR1,793.9027482,894.7577963,1337.972317,1259.44097,864.9268094
FLVCR2,1547.948778,1521.088254,354.5359403,494.0201553,553.7059045
FLYWCH1,399.6443956,420.0390766,734.0141075,708.6572784,523.1566132
FLYWCH2,145.4231628,120.5437587,316.231806,283.8176834,228.1650193
FMC1,1571.647367,2084.040034,1185.646574,1593.813679,1571.37917
FMN1,574.152191,458.5633706,408.8743633,742.3606283,676.857735
FMNL1,194.9747591,231.1457641,310.8870431,247.4535428,344.6341923
FMNL2,2782.429849,2538.875247,3118.669163,3262.129499,2867.814719
FMNL3,2223.358578,2143.690554,2504.021427,2768.996274,2930.822632
FMO1,63274.15675,63690.59975,38265.83012,60052.2741,38262.03267
FMO2,263.9161103,177.7088401,49.88445391,90.4668866,192.8424012
